name,date,type,track,laps,stages,race_processed
Advance Auto Parts Clash,02/09/2020,exhibition,Daytona International Speedway,75,"",false
Gander RV Duel 1 at Daytona,02/13/2020,qualifying,Daytona International Speedway,60,"",false
Gander RV Duel 2 at Daytona,02/13/2020,qualifying,Daytona International Speedway,60,"",false
Daytona 500,02/16/2020,regular,Daytona International Speedway,200,"60, 60, 80",false
Pennzoil 400,02/23/2020,regular,Las Vegas Motor Speedway,267,"80, 80, 107",false
Auto Club 400,03/01/2020,regular,Auto Club Speedway,200,"60, 60, 80",false
TicketGuardian 500,03/08/2020,regular,ISM Raceway,312,"75, 75, 162",false
Folds of Honor QuikTrip 500,03/15/2020,regular,Atlanta Motor Speedway,325,"85, 85, 155",false
NASCAR Cup Series Race at Homestead,03/22/2020,regular,Homestead-Miami Speedway,267,"80, 80, 107",false
O’Reilly Auto Parts 500,03/29/2020,regular,Texas Motor Speedway,334,"80, 80, 107",false
Food City 500,04/05/2020,regular,Bristol Motor Speedway,500,"125, 125, 250",false
Toyota Owners 400,04/19/2020,regular,Richmond Raceway,400,"100, 100, 200",false
GEICO 500,04/26/2020,regular,Talladega Superspeedway,188,"55, 55, 78",false
NASCAR Cup Series #1 Race at Dover,05/03/2020,regular,Dover International Speedway,400,"120, 120, 160",false
STP 500,05/09/2020,regular,Martinsville Speedway,500,"130, 130, 240",false
NASCAR Open,05/16/2020,regular,Charlotte Motor Speedway,60,"20, 20, 10",false
NASCAR All-Star Race,05/16/2020,regular,Charlotte Motor Speedway,85,"30, 20, 20, 15",false
Coca-Cola 600,05/24/2020,regular,Charlotte Motor Speedway,400,"100, 100, 100, 100",false
NASCAR Cup Series Race at Kansas,05/31/2020,regular,Kansas Speedway,267,"80, 80, 107",false
FireKeepers Casino 400,06/07/2020,regular,Michigan International Speedway,200,"60, 60, 80",false
Toyota/Save Mart 350,06/14/2020,regular,Sonoma Raceway,90,"20, 20, 50",false
Camping World 400,06/21/2020,regular,Chicagoland Speedway,267,"80, 80, 107",false
Pocono 400,06/27/2020,regular,Pocono Raceway,160,"50, 50, 60",false
Gander RV 400,06/28/2020,regular,Pocono Raceway,160,"50, 50, 60",false
Big Machine Vodka 400 at the Brickyard,07/05/2020,regular,Indianapolis Motor Speedway,160,"50, 50, 60",false
Quaker State 400,07/11/2020,regular,Kentucky Speedway,267,"80, 80, 107",false
Foxwoods Resort Casino 301,07/19/2020,regular,New Hampshire Motor Speedway,301,"75, 75, 151",false
Consumers Energy 400,08/09/2020,regular,Michigan International Speedway,200,"60, 60, 80",false
GoBowling at The Glen,08/16/2020,regular,Watkins Glen International,90,"20, 20, 50",false
NASCAR Cup Series #2 Race at Dover,08/23/2020,regular,Dover International Speedway,400,"120, 120, 160",false
Coke Zero Sugar 400,08/29/2020,regular,Daytona International Speedway,160,"50, 50, 60",false
Bojangles’ Southern 500,09/06/2020,playoff,Darlington Raceway,367,"100, 100, 167",false
Federated Auto Parts 400,09/12/2020,playoff,Richmond Raceway,400,"100, 100, 200",false
Bass Pro Shops NRA Night Race,09/19/2020,playoff,Bristol Motor Speedway,500,"125, 125, 250",false
South Point 400,09/27/2020,playoff,Las Vegas Motor Speedway,267,"80, 80, 107",false
1000Bulbs.com 500,10/04/2020,playoff,Talladega Superspeedway,188,"55, 55, 78",false
Bank of America Roval 400,10/11/2020,playoff,Charlotte Motor Speedway Road Course,109,"25, 25, 59",false
Hollywood Casino 400,10/18/2020,playoff,Kansas Speedway,267,"80, 80, 107",false
AAA Texas 500,10/25/2020,playoff,Texas Motor Speedway,334,"85, 85, 164",false
First Data 500,11/01/2020,playoff,Martinsville Speedway,500,"130, 130, 240",false
NASCAR Cup Series Race at ISM Raceway,11/08/2020,playoff,ISM Raceway,312,"75, 75, 162",false
