name,owner,car_manufacturer,equipment_rating,teamRating,raceRating,drivers
Joe Gibbs Racing,,Pontiac,101,100,101,"['Bobby Labonte', 'Tony Stewart', 'Mike McLaughlin']"
Roush Racing,,Ford,96,101,99,"['Wally Dallenbach Jr.', 'Greg Biffle', 'Matt Kenseth', 'Mark Martin', 'Kurt Busch', 'Jeff Burton']"
Hendrick Motorsports,,Chevrolet,98,95,97,"['Jeff Gordon', 'Jerry Nadeau', 'Jimmie Johnson', 'Terry Labonte']"
Penske Racing,,Ford,92,93,93,"['Ryan Newman', 'Rusty Wallace']"
Chip Ganassi Racing,,Dodge,94,91,93,"['Sterling Marlin', 'Jimmy Spencer', 'Scott Pruett']"
Robert Yates Racing,,Ford,90,87,89,"['Ricky Rudd', 'Dale Jarrett']"
Dale Earnhardt Inc.,,Chevrolet,89,91,90,"['Steve Park', 'Michael Waltrip', 'Dale Earnhardt Jr.']"
Evernham Motorsports,,Dodge,86,85,86,"['Jeremy Mayfield', 'Bill Elliott']"
Richard Childress Racing,,Chevrolet,87,87,87,"['Kevin Harvick', 'Jeff Green', 'Robby Gordon']"
Bill Davis Racing,,Dodge,76,76,76,"['Ward Burton', 'Hut Stricklin', 'Tom Hubert', 'Scott Wimmer']"
MB2 Motorsports,,Pontiac,71,70,71,"['Johnny Benson Jr.', 'Ken Schrader']"
Jasper Motorsports,,Ford,87,67,77,"['Boris Said', 'Dave Blaney']"
Wood Brothers Racing,,Ford,86,66,76,['Elliott Sadler']
Xpress Motorsports,,Chevrolet,72,65,69,[]
Ultra Motorsports,,Dodge,81,67,74,"['Ted Musgrave', 'Casey Atwood']"
PPI Motorsports,,Ford,88,63,76,['Ricky Craven']
Petty Enterprises,,Dodge,66,61,64,"['John Andretti', 'Christian Fittipaldi', 'Steve Grissom', 'Buckshot Jones', 'Kyle Petty']"
Reiser Racing,,Ford,80,61,70,[]
Haas-Carter Motorsports,,Ford,80,60,70,"['Joe Nemechek', 'Todd The Onion Bodine', 'Frank Kimmel', 'Hideo Fukuyama']"
Brewco Motorsports,,Pontiac,67,58,63,[]
Harvick Motorsports,Kevin Harvick,Chevrolet,58,58,58,[]
ppc Racing,,Ford,80,63,72,[]
Andy Petree Racing,Andy Petree,Chevrolet,61,54,58,"['Mike Wallace', 'Bobby Hamilton']"
Bobby Hamilton Racing,Bobby Hamilton ,Dodge,62,59,61,[]
Addington Racing,,Chevrolet,52,48,50,[]
Evans Motorsports,,Chevrolet,59,48,54,[]
Phoenix Racing,,Ford,50,47,49,['Geoffrey Bodine']
Morgan-McClure Motorsports,,Chevrolet,52,45,49,['Mike Skinner']
Haas CNC Racing,,Chevrolet,93,45,69,['Jack Sprague']
Herzog Motorsports,,Chevrolet,52,46,49,[]
NEMCO Motorsports,Joe Nemecheck,Chevrolet,48,48,48,['Ron Fellows']
Akins Motorsports,,Ford,45,44,45,[]
FitzBradshaw Racing,,Chevrolet,76,42,59,['Kerry Earnhardt']
Michael Waltrip Racing,Michael Waltrip ,Chevrolet,76,42,59,[]
Biagi Brothers,,Chevrolet,46,37,42,[]
SealMaster Racing,,Chevrolet,36,36,36,[]
Henderson Motorsports,,Chevrolet,35,35,35,[]
HT Motorsports,,Dodge,36,36,36,[]
Circle Bar Racing,,Ford,42,35,39,[]
ST Motorsports,,Chevrolet,77,42,60,[]
Lewis Motorsports,Ashton Lewis,Chevrolet,39,34,37,[]
Carroll Racing,,Chevrolet,42,33,38,[]
Moy Racing,,Ford,38,32,35,[]
A. J. Foyt Racing,,Pontiac,43,32,38,"['Stacy Compton', 'P. J. Jones']"
Innovative Motorsports,,Chevrolet,45,32,39,['Kenny Wallace']
AP Performance Racing,,Chevrolet,41,30,36,[]
BACE Motorsports,,Chevrolet,51,30,41,"['Tony Raines', 'Chad Little']"
Team Rensi Motorsports,,Ford,80,31,56,[]
BAM Racing,,Dodge,41,29,35,"['Ron Hornaday Jr.', 'Shawna Robinson']"
Day Enterprises,,Pontiac,36,27,32,[]
Morgan-Dollar Motorsports,,Chevrolet,48,29,39,[]
Team Jesel,,Dodge,40,27,34,[]
Brett Bodine Racing,Brett Bodine,Ford,80,26,53,['Brett Bodine']
BLV Motorsports,,Dodge,42,25,34,[]
Orleans Racing,,Chevrolet,50,24,37,"['Austin Cameron', 'Brendan Gaughan']"
Ken Schrader Racing,Ken Schrader,Chevrolet,33,24,29,[]
Marsh Racing,,Chevrolet,22,22,22,[]
Matrix Motorsports,Kevin Lepage,Ford,29,21,25,[]
Tommy Baldwin Racing,,Dodge,66,21,44,[]
Billy Ballew Motorsports,,Ford,31,20,26,[]
Frank Cicci Racing,,Chevrolet,22,20,21,[]
Green Light Racing,,Chevrolet,41,20,31,[]
Melling Racing,,Dodge,27,20,24,['Robert Pressley']
MB Motorsports,,Ford,31,20,26,[]
Spears Racing,,Chevrolet,42,19,31,[]
Stanton Barrett Motorsports,Stanton Barrett,Ford,86,19,53,[]
Marcis Auto Racing,Dave Marics,Chevrolet,77,19,48,"['Jay Sauter', 'Andy Hillenburg', 'Dave Marcis', 'Dick Trickle', 'Dwayne Leik']"
Victory Motorsports,Morgan Sheppard,Ford,19,19,19,['Morgan Shepherd']
MacDonald Motorsports,Randy MacDonald,Chevrolet,23,18,21,[]
Donlavey Racing,,Ford,80,18,49,['Rick Mast']
Team CLR,,Ford,80,18,49,"['Stuart Kirby', 'Derrike Cope']"
Quest Motor Racing,,Ford,17,17,17,['Kevin Lepage']
GIC Mixon Motorsports,,Chevrolet,20,17,19,[]
JD Motorsports,,Chevrolet,17,17,17,[]
Linro Motorsports,,Chevrolet,16,16,16,[]
Kirk Shelmerdine Racing,Kirk Shelmerdine,Ford,19,16,18,['Kirk Shelmerdine']
SCORE Motorsports,,Chevrolet,30,16,23,['Hermie Sadler']
Baker Curb Racing,,Chevrolet,15,15,15,[]
Curb Racing,,Chevrolet,15,15,15,[]
Roadrunner Motorsports,,Chevrolet,15,15,15,['Jim Inglebright']
Means Motorsports,,Ford,20,15,18,[]
Sadler Brothers Racing,,Ford,24,15,20,[]
McGlynn Racing,,Chevrolet,15,13,14,[]
Leik Motorsports,,Chevrolet,13,13,13,[]
K Automotive Racing,,Ford,40,33,37,[]
Bailey Racing,,Ford,10,10,10,[]
Bobby Gerhart Racing,Bobby Gerhart,Pontiac,10,10,10,['Bobby Gerhart']
DF2 Motorsports,,Chevrolet,10,10,10,[]
Glidden Racing,,Ford,10,10,10,[]
Hover Motorsports,,Ford,10,10,10,[]
Lefturn Motorsports,,Ford,20,10,15,[]
Derrike Cope Racing,Derrike Cope,Ford,10,10,10,[]
Mansion Motorsports,,Dodge,12,9,11,['Carl Long']
Team Racing,,Pontiac,10,9,10,[]
Lowell Bennett Racing,,Chevrolet,8,8,8,[]
Team Bristol Motorsports,,Chevrolet,21,8,15,['Kevin Grubb']
Ware Racing Enterprises,,Dodge,24,17,21,[]
Truex Motorsports,,Chevrolet,23,8,16,[]
RDS Motorsports,,Dodge,18,7,13,[]
Havill-Spoerl Racing,,Ford,7,6,7,[]
Jarvis Racin,,Chevrolet,6,6,6,[]
Robinson-Blakeney Racing,,Ford,25,6,16,[]
Santerre Racing,Andy Santerre,Chevrolet,17,6,12,[]
Benning Racing ,Norm Benning,Chevrolet,5,5,5,[]
Big Fan Racing,,Chevrolet,5,5,5,[]
Bost Motorsports,,Chevrolet,12,5,9,[]
Brian Weber & Associates Racing,,Chevrolet,11,5,8,[]
CDS Racing,,Chevrolet,5,5,5,[]
Conely Racing,,Chevrolet,5,5,5,[]
Craig Racing,,Chevrolet,5,5,5,[]
Danford Motorsports,,Ford,5,5,5,[]
EVI Motorsports,,Chevrolet,8,5,7,[]
Fauerbach Racing,,Chevrolet,5,5,5,[]
Hensley Racing,,Chevrolet,34,13,24,[]
Hispanic Racing Team,,Chevrolet,77,5,41,[]
Hoff Racing,,Pontiac,5,5,5,[]
Horn Auto Racing,,Chevrolet,10,5,8,[]
Jim & Judie Motorsports,,Chevrolet,5,5,5,[]
Joe Bessey Racing,,Chevrolet,5,5,5,[]
L & R Motorsports,,Chevrolet,24,5,15,[]
Mac Hill Racing,,Chevrolet,5,5,5,[]
Midgley Racing,,Chevrolet,5,5,5,[]
